car,model,price,body,mileage,engV,engType,PurchaseYear,drive,PurchaseMonth
Ford,Kuga,15500,crossover,68,2.5,Gas,2008,full,May
Mercedes-Benz,E-Class,20500,sedan,173,1.8,Gas,2011,rear,Jun
Mercedes-Benz,CL 550,35000,other,135,5.5,Petrol,2008,rear,Jul
Mercedes-Benz,B 180,17800,van,162,1.8,Diesel,2012,front,Nov
Mercedes-Benz,E-Class,33000,vagon,91,2.57,Other,2013,rear,Dec
Nissan,X-Trail,16600,crossover,83,2,Petrol,2013,full,Jan
Honda,Accord,6500,sedan,199,2,Petrol,2003,front,Feb
Renault,Megane,10500,vagon,185,1.5,Diesel,2011,front,Mar
Mercedes-Benz,E-Class,21500,sedan,146,1.8,Gas,2012,rear,Apr
Mercedes-Benz,E-Class,22700,sedan,125,2.2,Diesel,2010,rear,May
Nissan,Qashqai,20447.154,crossover,70,1.2,Petrol,2016,front,Jun
Mercedes-Benz,E-Class,20400,sedan,190,1.8,Gas,2011,rear,Jul
Mercedes-Benz,E-Class,22500,sedan,164,1.8,Gas,2012,rear,Aug
BMW,316,4700,sedan,200,1.71,Petrol,1996,rear,Sep
Mercedes-Benz,E-Class,21500,sedan,159,1.8,Gas,2012,rear,Oct
BMW,750,19999,sedan,290,4.8,Petrol,2006,rear,Nov
BMW,750,129222,sedan,2,5,Petrol,2016,full,Dec
Mercedes-Benz,GLE-Class,99999,crossover,180,3,Petrol,2016,full,Jan
BMW,M5,73900,sedan,57,4.4,Petrol,2013,rear,Feb
Land Rover,Range Rover,43450,crossover,80.5,4.4,Diesel,2016,full,Mar
Nissan,X-Trail,26033.553,crossover,100,1.6,Diesel,2016,full,Apr
BMW,X5,104999,crossover,2,3,Diesel,2016,full,May
BMW,X5,66500,crossover,1,2,Diesel,2016,full,Jun
BMW,X5,65099,crossover,160,2,Diesel,2016,full,Jul
BMW,X5,23900,crossover,235,3,Diesel,2007,full,Aug
Mercedes-Benz,GLE-Class,69999,crossover,180,2.2,Diesel,2016,full,Sep
BMW,X5,66200,crossover,70,3,Diesel,2014,full,Oct
BMW,X5,63000,crossover,160,2,Diesel,2015,full,Nov
Mercedes-Benz,GLE-Class,105999,crossover,180,2.98,Diesel,2016,full,Dec
Nissan,Leaf,13980,hatch,31,0.56,Other,2013,front,Jan
Nissan,Leaf,17300,hatch,24,0.56,Other,2013,front,Feb
Volkswagen,Passat B6,10700,sedan,147,2,Petrol,2007,front,Mar
Audi,A6,2600,vagon,273,2.5,Diesel,1999,front,Apr
Chrysler,Sebring,13700,sedan,70,2.4,Petrol,2008,front,May
Volkswagen,Passat B6,8999,sedan,120,2,Petrol,2008,front,Jun
Jaguar,XF,18777,sedan,82,3,Petrol,2008,rear,Jul
Audi,A6,2850,sedan,260,3.66,Other,1999,front,Aug
Audi,A6,37000,sedan,37,2.8,Petrol,2012,full,Sep
Mercedes-Benz,Sprinter 324 ïàññ.,200000,van,19,3.5,Petrol,2013,rear,Oct
Audi,A6,3850,vagon,215,2.5,Diesel,2002,front,Nov
Nissan,Leaf,13275,hatch,12,0.56,Other,2013,front,Dec
BMW,5 Series,1900,sedan,300,2.5,Diesel,1997,rear,Jan
BMW,520,39333,sedan,6,2,Petrol,2016,rear,Feb
Mercedes-Benz,GLE-Class,99999,crossover,180,2.99,Diesel,2016,full,Mar
Mercedes-Benz,GLE-Class,70999,crossover,180,2.2,Diesel,2016,full,Apr
BMW,X5,63500,crossover,1,2,Diesel,2016,full,May
BMW,X5,59900,crossover,30,2,Diesel,2016,full,Jun
Mitsubishi,Outlander,9200,crossover,110,2.4,Petrol,2006,full,Jul
Nissan,Juke,20241.897,crossover,39,1.6,Petrol,2015,front,Aug
Mercedes-Benz,E-Class,14490,vagon,212,2.2,Diesel,2008,rear,Sep
Mercedes-Benz,E-Class,31500,sedan,123,2.2,Diesel,2011,rear,Oct
Mercedes-Benz,GLE-Class,73499,crossover,180,3,Diesel,2016,full,Nov
Volkswagen,Passat B6,8999,sedan,120,1.9,Diesel,2007,front,Dec
